name,zip
4 Ave & E 12 St,10003
Catherine St & Monroe St,10002
Gansevoort St & Hudson St,10014
Central Park North & Adam Clayton Powell Blvd,10026
Water St & Gouverneur Ln,10005
Grand Army Plaza & Central Park S,10019
Calyer St & Jewel St,11222
Duane St & Hudson St,10013
Thompson St & Bleecker St,10012
Bayard St & Leonard St,11222
E 4 St & 2 Ave,10003
Humboldt St & Varet St,11206
Washington St & Laight St,10013
Walker St & Baxter St,10013
Church St & Worth St,10007
W Broadway & W Houston St,10012
W 30 St & 10 Ave,10001
N 15 St & Wythe Ave,11249
Vesey Pl & River Terrace,10282
Sullivan St & Washington Sq,10012
E 9 St & 5 Ave,10003
Lafayette St & Jersey St,10012
Norfolk St & Broome St,10002
Mercer St & Spring St,10012
W Broadway & Spring St,10012
E 16 St & 5 Ave,10003
Bleecker St & Crosby St,10012
W 22 St & 8 Ave,10011
Christopher St & Greenwich St,10014
6 Ave & Broome St,10013
W 17 St & 8 Ave,10011
Laight St & Hudson St,10013
E 134 St & Walnut Ave,10454
Devoe St & Lorimer St,11211
W 225 St & Exterior St,10463
Jackson Square,7305
Graham Ave & Withers St,11211
51 Ave & 61 St,11377
S 4 St & Rodney St,11211
Pacific St & Nevins St,11217
Engert Ave & McGuinness Blvd,11222
9 Ave & W 219 St,10034
64 St & 53 Dr,11378
Wyckoff St & 3 Ave,11217
E 167 St & Bryant Ave,10459
Green St & McGuinness Blvd,11222
Flushing Ave & Vanderbilt Ave,11205
62 St & 34 Ave,11377
S 3 St & Bedford Ave,11249
Irving Ave & Harman St,11237
Henry St & Atlantic Ave,11201
Page Pl & Grand Ave,11378
Caton Ave & E 7 St,11218
Willow Ave & E 133 St,10454
City Hall - Washington St & 1 St,7030
Southern Blvd & E 142 St,10454
S 4 St & Wythe Ave,11249
Bay St & Court St,11231
Hope St & Union Ave,11211
Midwood St & Utica Ave,11203
Clinton Ave & Flushing Ave,11205
White St & Johnson Ave,11206
23 St & 3 Ave,11232
Carlton Ave & Park Ave,11205
Greenpoint Ave & Manhattan Ave,11222
62 St & Northern Blvd,11377
Metropolitan Ave & 65 Ln,11379
4 Ave & 26 St,11232
21 St & 43 Ave,11101
President St & Henry St,11231
St Marks Pl & 4 Ave,11217
53 St & 2 Ave,11220
4 Ave & 9 St,11215
11 St & 43 Ave,11101
20 Ave & 38 St,11105
MacDougal St & Washington Sq,10011
Bergen St & Flatbush Ave,11217
South St & Broad St,10004
E 8 St & Caton Ave,11218
2 Av & 37 St,11232
9 St & 44 Rd,11101
South St & Pike St,10002
E Fordham Rd & Webster Ave,10458
58 St & 2 Ave,11220
8 Ave & W 16 St,10011
8 Ave & W 24 St,10011
Old Fulton St,11201
Union Ave & N 12 St,11211
4 Ave & 3 St,11215
Pioneer St & Van Brunt St,11231
Madison St & Clinton St,10002
Murray St & West St,10007
E 1 St & Bowery,10003
Stanton St & Chrystie St,10002
2 Ave & 39 St,11215
Kent Ave & N 7 St,11249
Hudson St & Reade St,10013
Wythe Ave & Metropolitan Ave,11249
Perry St & Greenwich Ave,10014
Bridge St & York St,11201
W 16 St & The High Line,10011
W 22 St & 10 Ave,10011
3 St & 3 Ave,11215
E 2 St & 2 Ave,10003
E 153 St & E 157 St,10451
Bloomfield St & 15 St,7030
Monmouth and 6th,7302
Skillman Ave & 43 Ave,11101
Clarkson Ave & Utica Ave,11203
Pier 40 - Hudson River Park,10014
65 St & Broadway,10023
3 Ave & Franklin Ave,10456
36 Ave & 10 St,11106
W 211 St & 10 Ave,10034
Faile St & Garrison Ave,10474
Prospect Pl & Howard Ave,11233
30 St & 4 Ave,11232
Prospect Ave & Vanderbilt St,11218
Dey St,10007
Journal Square,7306
W 133 St & 12 Ave,10027
20 Ave & 42 St,11105
61 St & Laurel Hill Blvd,11377
Bergen Ave & E 152 St,10455
Webster Ave & E 166 St,10456
Southern Blvd & Tiffany St,10459
Icahn Stadium,10035
Midwood St & Kingston Ave,11203
West Farms Rd & Boone Ave,10459
JC Medical Center,7302
Madison St & 10 St,7030
Greenwood Ave & E 4 St,11218
20 Ave & 48 St,11105
White St & Moore St,11206
Prospect Ave & Greenwood Ave,11218
St. Ann's Ave & E 144 St,10454
Broadway & W 131 St,10027
Knickerbocker Ave & Hancock St,11221
Waterbury St & Stagg St,11206
12 St & 4 Ave,11215
4 Ave & 17 St,11215
Van Vorst Park,7302
Warren St,7302
Smith St & 9 St,11231
Stockholm St & Wilson Ave,11237
Clinton St & 4 Place,11231
Broadway & Roebling St,11211
Dock St & Front St,11201
16th St & 4th Ave,11215
Degraw St & Hoyt St,11231
Pike St & Monroe St,10002
Lorimer St & Broadway,11206
Orchard St & Grand St,10002
5 Ave & 37 St,11232
44 Dr & Jackson Ave,11101
Atlantic Ave & Furman St,11201
S 5 Pl & S 5 St,11211
Keegan Rd & 2 Ave,11220
27 St & Hunter St,11101
Hoyt St & Warren St,11217
Jay St & York St,11201
Barclay St & Church St,10007
W 20 St & 7 Ave,10011
Spring St & Hudson St,10013
2 Ave & 36 St,11232
Greene St & Prince St,10012
W 13 St & 7 Ave,10011
St James Pl & Oliver St,10038
W 11 St & 6 Ave,10011
Allen St & Stanton St,10002
E 5 St & Cooper Sq,10003
10 Ave & W 14 St,10014
Water St & Fletcher St,10038
3 St & Hoyt St,11231
Greenwich Ave & Charles St,10014
W 4 St & 7 Ave S,10014
7 Ave S & Bleecker St,10014
Forsyth St & Broome St,10002
Carmine St & 6 Ave,10014
DeKalb Ave & Hudson Ave,11217
University Pl & E 8 St,10003
W 20 St & 8 Ave,10011
W 92 St & Broadway,10025
Morris Canal,7302
Wakeman Pl & Ridge Blvd,11220
Steinway St & 19 Ave,11105
55 Dr & Maurice Ave,11378
W Tremont Ave & Matthewson Rd,10453
Adam Clayton Powell Blvd & W 151 St,10001
Clay Ave & Claremont Pkwy,10457
St Marks Ave & Thomas S. Boyland St,11233
Brook Ave & E 157 St,10451
65 St & 2 Ave,11220
Dahill Rd & 12 Ave,11218
St Johns Pl & Howard Ave,11233
